promo_id,promo_name,promo_type,start_date,end_date,discount_pct,channel_name
1,CNN-News18 Black Friday Offer,Black Friday,2024-06-16,2024-07-15,25,CNN-News18
2,CNN-News18 Navratri Offer,Navratri,2024-11-25,2024-12-16,30,CNN-News18
3,CNN-News18 Rugby World Cup Offer,Rugby World Cup,2024-06-12,2024-06-26,20,CNN-News18
4,NDTV ICC Champions Trophy Offer,ICC Champions Trophy,2024-12-10,2025-01-06,35,NDTV
5,NDTV Olympics Offer,Olympics,2024-07-28,2024-08-13,25,NDTV
6,Times Now Super Bowl Offer,Super Bowl,2024-03-31,2024-04-27,35,Times Now
7,Times Now Tour de France Offer,Tour de France,2024-02-07,2024-02-18,25,Times Now
8,Republic TV Summer Offer,Summer,2024-03-19,2024-04-10,35,Republic TV
9,Zee News Wimbledon Offer,Wimbledon,2024-12-19,2025-01-09,25,Zee News
10,Zee News ICC Champions Trophy Offer,ICC Champions Trophy,2024-07-23,2024-08-18,10,Zee News
11,Zee News Thanksgiving Offer,Thanksgiving,2024-11-09,2024-11-29,10,Zee News
12,Aaj Tak Black Friday Offer,Black Friday,2024-08-14,2024-08-29,25,Aaj Tak
13,Aaj Tak Super Bowl Offer,Super Bowl,2024-01-09,2024-02-01,20,Aaj Tak
14,Aaj Tak Summer Offer,Summer,2024-02-04,2024-02-28,20,Aaj Tak
15,ABP News Wimbledon Offer,Wimbledon,2024-08-14,2024-08-22,15,ABP News
16,India Today Holi Offer,Holi,2024-01-20,2024-02-17,10,India Today
17,India Today New Year Eve Offer,New Year Eve,2024-02-28,2024-03-23,10,India Today
18,CNBC-TV18 Olympics Offer,Olympics,2024-10-23,2024-11-14,15,CNBC-TV18
19,ET Now MotoGP World Championship Offer,MotoGP World Championship,2024-12-25,2025-01-04,20,ET Now
20,Star Plus New Year Eve Offer,New Year Eve,2024-05-18,2024-06-02,20,Star Plus
21,Star Plus Black Friday Offer,Black Friday,2024-07-25,2024-08-09,10,Star Plus
22,Colors MotoGP World Championship Offer,MotoGP World Championship,2024-05-10,2024-05-25,25,Colors
23,Colors Holi Offer,Holi,2024-11-12,2024-12-11,35,Colors
24,Colors Super Bowl Offer,Super Bowl,2024-04-26,2024-05-05,15,Colors
25,Sony Entertainment US Open (Tennis) Offer,US Open (Tennis),2024-01-22,2024-02-15,30,Sony Entertainment
26,Sony Entertainment Ganesh Chaturthi Offer,Ganesh Chaturthi,2024-03-12,2024-03-22,10,Sony Entertainment
27,Sony Entertainment UEFA Euro Offer,UEFA Euro,2024-09-09,2024-09-22,15,Sony Entertainment
28,Zee TV Super Bowl Offer,Super Bowl,2024-10-22,2024-10-29,35,Zee TV
29,SAB TV MotoGP World Championship Offer,MotoGP World Championship,2024-10-01,2024-10-13,25,SAB TV
30,SAB TV Easter Offer,Easter,2024-10-07,2024-10-28,25,SAB TV
31,SAB TV Navratri Offer,Navratri,2024-09-16,2024-10-10,25,SAB TV
32,&TV Wimbledon Offer,Wimbledon,2024-11-28,2024-12-23,35,&TV
